Id_Property,Judul,Lokasi,Harga,Kamar,WC,Parkir,Luas_Tanah,Luas_Bangunan,Harga_Normalized,Kamar_Normalized,WC_Normalized,Parkir_Normalized,Luas_Tanah_Normalized,Luas_Bangunan_Normalized,Judul_Clean,Lokasi_Clean,Deskripsi_Clean,Keywords_Clean,Image_Link,Property_Link
1418,Rumah Dijual Sleman 6 Km Ke Malioboro Dalam Cluster Nuansa Villa,"Sleman, Sleman",571000000,2,1,1,79,40,0.003920213,0.111111111,0,0,0.261016949,0.161157025,rumah jual sleman 6 km malioboro cluster nuansa villa,sleman sleman,rumah nuansa villa hadir lingkung huni aman nyaman letak dekat pusat,rumah dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/1633106/c4b68e9a08ecf553dc7e0017cecda5a5.jpg,https://www.rumah123.com/properti/sleman/hos18044232/
1419,Rumah Scandinavian Modern di Sleman Bonus Motor Listrik Untuk Anda,"Sleman, Sleman",591000000,2,1,1,81,40,0.004067313,0.111111111,0,0,0.26779661,0.161157025,rumah scandinavian modern sleman bonus motor listrik anda,sleman sleman,rumah nuansa villa hadir lingkung huni aman nyaman letak dekat pusat,rumah dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/1633106/cfead3b37725db2212545fcd9ecd9b6c.jpg,https://www.rumah123.com/properti/sleman/hos18435064/
1420,Rumah Murah Sleman 6 Km Ke Malioboro Serasa Villa,"Sleman, Sleman",566000000,2,1,1,77,40,0.003883438,0.111111111,0,0,0.254237288,0.161157025,rumah murah sleman 6 km malioboro serasa villa,sleman sleman,rumah nuansa villa hadir lingkung huni aman nyaman letak dekat pusat,rumah dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/1975229/43a4662efc38b3510f24655f94a1a792.jpg,https://www.rumah123.com/properti/sleman/hos18435175/
1421,Rumah Scandinavian Sleman Dengan Bonus Motor Listrik Hemat Dan Stylish,"Sleman, Sleman",594000000,2,1,1,82,40,0.004089378,0.111111111,0,0,0.271186441,0.161157025,rumah scandinavian sleman bonus motor listrik hemat stylish,sleman sleman,rumah nuansa villa hadir lingkung huni aman nyaman letak dekat pusat,rumah dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/1975229/b856b1685044effe1ad64e21aa10e6c8.jpg,https://www.rumah123.com/properti/sleman/hos18435170/
1422,"Aswana Residence, Hunian Nyaman Dekat Dengan Pusat Kota Jogja","Sleman, Yogyakarta",995000000,3,3,1,95,107,0.007038731,0.222222222,0.25,0,0.315254237,0.438016529,aswana residence huni nyaman dekat pusat kota jogja,sleman yogyakarta,aswana residence huni konsep healthy living dekat pusat kota yogyakarta milik segera,rumah dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1975229/d1bde5adc48ec5ac42b8d1ac89e688cb.jpg,https://www.rumah123.com/properti/sleman/hos18435169/
1423,Di Jual Rumah Di Puri Kahyangan Karena Mau Pindah Ke Jakarta,"Depok, Sleman",18000000000,5,3,1,145,200,0.132110443,0.444444444,0.25,0,0.484745763,0.82231405,jual rumah puri kahyangan mau pindah jakarta,depok sleman,fd74 luas bangun 200 luas tanah 145 kamar tidur 5 kamar mandi 3 fasilitas ac pam gordyn garasi,rumah siap huni dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/2075564/d78c846aa5c98d6cd6c8a3b36d2ff543.jpg,https://www.rumah123.com/properti/sleman/hos18435011/
1424,Rumah Baru Minimalis Modern di Bangunjiwo Dekat Kampus Umy,"Bantul, Yogyakarta",485000000,2,1,1,80,45,0.003287683,0.111111111,0,0,0.26440678,0.181818182,rumah baru minimal modern bangunjiwo dekat kampus umy,bantul yogyakarta,jual rumah baru siap bangun konsep minimal modern bangunjiwo bantul cek yukkk kode,rumah dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1969860/15ce87b4dd7bcb626c51296aac00a537.jpg,https://www.rumah123.com/properti/sleman/hos18435001/
1425,Rumah Paling Murah 300 Jutaan Dekat Candi Kalasan,"Kalasan, Sleman",350000000,2,1,1,80,30,0.002294759,0.111111111,0,0,0.26440678,0.119834711,rumah paling murah 300 juta dekat candi kalas,kalasan sleman,rumah paling murah dekat candi kalas lokasi tamanmartani kec kalas kabupaten sleman diy,rumah dekat akses transportasi dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1969860/83bd2fe588c2f52916654d9a07c1a16a.jpg,https://www.rumah123.com/properti/sleman/hos18434990/
1426,Rumah Cantik Siap Huni 800 Meter Dari Jl. Raya Wates,"Sedayu, Bantul",495000000,2,1,1,84,45,0.003361233,0.111111111,0,0,0.277966102,0.181818182,rumah cantik siap huni 800 meter jl raya wates,sedayu bantul,rumah cantik siap huni 800 meter jl raya wates lokasi dayu kabupaten bantul diy rumah,rumah siap huni dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1969860/64e171989e17456fd02fb3fc98f6f228.jpg,https://www.rumah123.com/properti/sleman/hos18434984/
1427,Rumah 2 Lantai Industrial Di Belakang Uii,"Ngaglik, Sleman",14000000000,3,2,2,108,130,0.102690458,0.222222222,0.125,0.05,0.359322034,0.533057851,rumah 2 lantai industrial belakang uii,ngaglik sleman,rumah 2 lantai industrial belakang uii lokasi sardonoharjo kec ngaglik kabupaten sleman,rumah full furnished siap huni dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1969860/d298e77a24362e3567f4b3552c8cf435.jpg,https://www.rumah123.com/properti/sleman/hos18434981/
1428,"Rumah Modern Di Perbukitan Seyegan Sleman, Dekat Gate Tol Seyegan","Seyegan, Sleman",299000000,2,1,1,60,30,0.001919654,0.111111111,0,0,0.196610169,0.119834711,rumah modern bukit seyegan sleman dekat gate tol seyegan,seyegan sleman,lokasi seyegan sleman daerah istimewa yogyakarta hub rizki wastu property fasilitas perumahanan,rumah dekat akses transportasi dekat sekolah dekat tempat ibadah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1969860/7c83c61177354f12d7c4254ac1a362a4.jpg,https://www.rumah123.com/properti/sleman/hos18434970/
1429,Rumah Semi Furnished Siap Huni di Sleman Dekat Jogja Bay,"Ngaglik, Sleman",820000000,3,2,1,120,80,0.005751607,0.222222222,0.125,0,0.4,0.326446281,rumah semi furnished siap huni sleman dekat jogja bay,ngaglik sleman,jual rumah second siap huni konsep modern bonus semi furnished wedomartani ngemplak,rumah full furnished siap huni dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1932293/9c3d64f3c1ca5d67aa91d977201a3270.jpg,https://www.rumah123.com/properti/sleman/hos18434948/
1430,Rumah Industrial Baru Siap Huni Dekat Balong Waterpark,"Bantul, Yogyakarta",750000000,2,1,1,94,60,0.005236757,0.111111111,0,0,0.311864407,0.243801653,rumah industrial baru siap huni dekat balong waterpark,bantul yogyakarta,kode 1058 daya tarik kawasan 4 menit balong waterpark 8 menit sate klatak pak pong,rumah siap huni dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/611887/74125970d15eca67855d3ea564226e82.jpg,https://www.rumah123.com/properti/bantul/hos18434942/
1431,Rumah Baru Siap Huni Harga Promo di Sleman Dekat Kampus Uii,"Sleman, Yogyakarta",875000000,3,2,1,85,145,0.006156132,0.222222222,0.125,0,0.281355932,0.595041322,rumah baru siap huni harga promo sleman dekat kampus uii,sleman yogyakarta,jual 1 unit rumah baru siap huni konsep modern minimal jl kaliurang km 12 sleman kode,rumah siap huni dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/1105002/c3ed82cfe8113f7a68c0dad72dcce11a.jpg,https://www.rumah123.com/properti/bantul/hos18434852/
1432,Rumah Modern Desain Mediterania Legalitas Komplit Bisa Kpr di Sleman,"Prambanan, Sleman",685000000,2,1,1,90,45,0.004758683,0.111111111,0,0,0.298305085,0.181818182,rumah modern desain mediterania legalitas komplit kpr sleman,prambanan sleman,rumah modern desain mediterania legalitas komplit kpr sleman spek luas tanah 90 m2 luas bangun,rumah dekat akses transportasi dekat sekolah dekat tempat wisata,https://picture.rumah123.com/r123-images/720x420-crop/customer/1212332/2024-10-21-12-20-05-ce9f4429-8b6a-4870-bf93-cf4c42f6f245-1729488005.jpg,https://www.rumah123.com/properti/sleman/hos18434748/
1433,Rumah Dijual Bantul SHM + Imb 10 Menit Ke Kampus Umy,"Kasihan, Bantul",388000000,2,1,1,119,40,0.002574249,0.111111111,0,0,0.396610169,0.161157025,rumah jual bantul shm imb 10 menit kampus umy,kasihan bantul,rumah jual bantul shm imb 10 menit kampus umy rumah rumah desain scandinavian lokasi,rumah dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1105002/0de87f2672ddc9ef1e4dcc5b191fee64.jpg,https://www.rumah123.com/properti/sleman/hos18434740/
1434,Rumah Dijual Bantul Padat Perumahan Dekat Kampus Umy,"Kasihan, Bantul",454000000,2,1,1,153,40,0.003059678,0.111111111,0,0,0.511864407,0.161157025,rumah jual bantul padat rumah dekat kampus umy,kasihan bantul,rumah jual bantul padat rumah dekat kampus umy rumah rumah desain scandinavian lokasi,rumah dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1932293/c3da59d3c470f120ce46129713fd9cc1.jpg,https://www.rumah123.com/properti/sleman/hos18434707/
1435,Rumah Bantul Dalam Perumahan Barat Alfamart Tugu Lilin,"Kasihan, Bantul",551000000,2,1,1,153,40,0.003773113,0.111111111,0,0,0.511864407,0.161157025,rumah bantul rumah barat alfamart tugu lilin,kasihan bantul,rumah bantul rumah barat alfamart tugu lilin rumah rumah desain scandinavian,rumah dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1912146/2024-10-19-11-01-02-77ddf2fa-ca15-4e75-8ec3-2b77bf62ae75-1729310462.jpg,https://www.rumah123.com/properti/bantul/hos18434661/
1436,Jual Rumah Bantul Dekat Kampus Umy Siap Bangun,"Kasihan, Bantul",455000000,2,1,1,153,40,0.003067033,0.111111111,0,0,0.511864407,0.161157025,jual rumah bantul dekat kampus umy siap bangun,kasihan bantul,jual rumah bantul dekat kampus umy siap bangun rumah rumah desain scandinavian lokasi,rumah dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/2075564/bfcbd8a449aaaa22d24abe8d509a3c19.jpg,https://www.rumah123.com/properti/sleman/hos18434637/
1437,Rumah di Bantul SHM + Imb Barat Alfamart Tugu Lilin,"Kasihan, Bantul",387000000,2,1,1,119,40,0.002566894,0.111111111,0,0,0.396610169,0.161157025,rumah bantul shm imb barat alfamart tugu lilin,kasihan bantul,rumah bantul shm imb barat alfamart tugu lilin rumah rumah desain scandinavian lokasi,rumah dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1212332/2024-10-19-11-00-04-652dde28-476e-4209-9ad2-a3b79eeda091-1729310404.jpg,https://www.rumah123.com/properti/yogyakarta/hos18434613/
1438,Rumah Baru Modern 5 Menit Ke Kampus Uii Terpadu,"Ngaglik, Sleman",1.08E+11,3,2,1,147,80,0.794060105,0.222222222,0.125,0,0.491525424,0.326446281,rumah baru modern 5 menit kampus uii padu,ngaglik sleman,jual rumah baru cantik siap huni ngaglik sleman utara kode core 903 daya tarik kawasan,rumah siap huni dekat akses transportasi dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1932293/79f5d043ed0578228515951bc7b1a2c0.jpg,https://www.rumah123.com/properti/sleman/hos18434549/
1439,Rumah Modern Siap Huni Dekat Unriyo Purwomartani Sleman,"Purwomartani, Sleman",700000000,3,2,1,103,65,0.004869008,0.222222222,0.125,0,0.342372881,0.26446281,rumah modern siap huni dekat unriyo purwomartani sleman,purwomartani sleman,available unit siap huni siap bangun total 13 unit lokasi nyaman damai strategis buru,rumah siap huni dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/2024-05-23-04-10-55-8d50df77-379c-4cbb-bb53-80bd288d79cb.jpg,https://www.rumah123.com/properti/sleman/hos17179552/
1440,Rumah Dijual Sleman + Taman Bermain Dekat Kampus Umy Villa Sejuk,"Gamping, Sleman",580000000,2,1,1,81,40,0.003986408,0.111111111,0,0,0.26779661,0.161157025,rumah jual sleman taman main dekat kampus umy villa sejuk,gamping sleman,rumah nuansa villa hadir lingkung huni aman nyaman letak dekat pusat,rumah dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/1975229/7f9a56f0c4111fe3fea2313fd09a1ae2.jpg,https://www.rumah123.com/properti/sleman/hos18434402/
1441,Rumah Murah Sleman Dekat Kampus Umy Dalam Cluster,"Gamping, Sleman",571000000,2,1,1,79,40,0.003920213,0.111111111,0,0,0.261016949,0.161157025,rumah murah sleman dekat kampus umy cluster,gamping sleman,rumah nuansa villa hadir lingkung huni aman nyaman letak dekat pusat,rumah dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/1975229/790c2c4aeca8bfe0434a5822888f271b.jpg,https://www.rumah123.com/properti/sleman/hos18434401/
1442,Miliki Rumah Scandinavian di Sleman Motor Listrik Gratis,"Gamping, Sleman",592000000,2,1,1,82,40,0.004074668,0.111111111,0,0,0.271186441,0.161157025,milik rumah scandinavian sleman motor listrik gratis,gamping sleman,rumah nuansa villa hadir lingkung huni aman nyaman letak dekat pusat,rumah dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/1975229/cfa4d38d724da736d8a06bd46a6a53c8.jpg,https://www.rumah123.com/properti/sleman/hos18434399/
1443,Hunian Nyaman Gaya Scandinavian di Sleman Dengan Bonus Motor Listrik,"Gamping, Sleman",591000000,2,1,1,81,40,0.004067313,0.111111111,0,0,0.26779661,0.161157025,huni nyaman gaya scandinavian sleman bonus motor listrik,gamping sleman,rumah nuansa villa hadir lingkung huni aman nyaman letak dekat pusat,rumah dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/74513/2024-02-22-08-30-30-17ffee19-80dc-46e8-8139-de73b6b6a4c7.jpg,https://www.rumah123.com/properti/sleman/hos16462536/
1444,Rumah Mewah Scandinavian di Sleman Plus Motor Listrik Gratis,"Gamping, Sleman",566000000,2,1,1,76,40,0.003883438,0.111111111,0,0,0.250847458,0.161157025,rumah mewah scandinavian sleman plus motor listrik gratis,gamping sleman,rumah nuansa villa hadir lingkung huni aman nyaman letak dekat pusat,rumah dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/1723863/8a983c093e13dacd823077332f5e6d33.jpg,https://www.rumah123.com/properti/sleman/hos18434069/
1445,Rumah di Jogja Barat Area Exit Tol Sentolo Gaya Jepang Ada Taman Bermain,"Sentolo, Kulon Progo",343000000,2,1,1,72,36,0.002243274,0.111111111,0,0,0.237288136,0.144628099,rumah jogja barat area exit tol sentolo gaya jepang taman main,sentolo kulon progo,rumah murah sentolo kulon progo jogja dekat lokasi selatan markas brimob sentolo dekat calon,rumah dekat akses transportasi,https://picture.rumah123.com/r123-images/720x420-crop/customer/2039323/6a74bd6e55c07bc82055412abc3befb0.jpg,https://www.rumah123.com/properti/sleman/hos18433718/
1446,Rumah di Jogja Barat 300 Jutaan Nuansa Jepang 20 Menit Ke Kota,"Sentolo, Kulon Progo",341000000,2,1,1,71,36,0.002228564,0.111111111,0,0,0.233898305,0.144628099,rumah jogja barat 300 juta nuansa jepang 20 menit kota,sentolo kulon progo,rumah murah sentolo kulon progo jogja dekat lokasi selatan markas brimob sentolo dekat calon,rumah dekat akses transportasi,https://picture.rumah123.com/r123-images/720x420-crop/customer/1105039/2023-10-14-09-16-49-5f3b1782-404f-4b97-9191-b58a9045f6e8.jpg,https://www.rumah123.com/properti/yogyakarta/hos15123396/
1447,Rumah Jogja Murah Jepang Modern One Gate System Jalan Wates Promo 2 Unit Ac Gratis,"Sentolo, Kulon Progo",536000000,2,1,1,77,36,0.003662788,0.111111111,0,0,0.254237288,0.144628099,rumah jogja murah jepang modern one gate system jalan wates promo 2 unit ac gratis,sentolo kulon progo,rumah murah sentolo kulon progo jogja dekat lokasi selatan markas brimob sentolo dekat calon,rumah dekat akses transportasi,https://picture.rumah123.com/r123-images/720x420-crop/customer/1279437/2024-10-01-11-33-10-0b215e40-5f34-419a-80e4-5c5a020f6df4-1727757190.jpg,https://www.rumah123.com/properti/sleman/hos18281696/
1448,Rumah Murah di Jogja Jepang Modern Dekat Brimob Sentolo 300 Jutaan Free 2 Unit Ac,"Sentolo, Kulon Progo",538000000,2,1,1,137,36,0.003677498,0.111111111,0,0,0.457627119,0.144628099,rumah murah jogja jepang modern dekat brimob sentolo 300 juta free 2 unit ac,sentolo kulon progo,rumah murah sentolo kulon progo jogja dekat lokasi selatan markas brimob sentolo dekat calon,rumah dekat akses transportasi,https://picture.rumah123.com/r123-images/720x420-crop/customer/1908177/7a84375dc3c2b2c456995169ac59eaf7.jpg,https://www.rumah123.com/properti/sleman/hos18433683/
1449,Rumah Murah di Jogja Jepang Modern 20 Menit Ke Kota Dalam Cluster Free 2 Unit Ac,"Sentolo, Kulon Progo",346000000,2,1,1,73,36,0.002265339,0.111111111,0,0,0.240677966,0.144628099,rumah murah jogja jepang modern 20 menit kota cluster free 2 unit ac,sentolo kulon progo,rumah murah sentolo kulon progo jogja dekat lokasi selatan markas brimob sentolo dekat calon,rumah dekat akses transportasi,https://picture.rumah123.com/r123-images/720x420-crop/customer/735283/3719e8a1e9cb6fd0a61e93cbaf747c1a.jpg,https://www.rumah123.com/properti/bantul/hos18433656/
1450,Rumah Baru 2 Lantai di Jl. Besi Jangkang Ngaglik Sleman. SHM,"Ngaglik, Sleman",11000000000,5,3,1,133,145,0.080625469,0.444444444,0.25,0,0.444067797,0.595041322,rumah baru 2 lantai jl besi jangkang ngaglik sleman shm,ngaglik sleman,jual rumah baru 2 lantai putar jl besi jangkang dekat ppgg seni luas tanah 133 m luas,rumah,https://picture.rumah123.com/r123-images/720x420-crop/customer/831061/8bef78440be4fd8cf8ba6fbbd3a8eb27.jpg,https://www.rumah123.com/properti/bantul/hos18304827/
1451,Rumah 2 Lantai Komplek The Paradise Palagan. SHM,"Ngaglik, Sleman",15000000000,3,2,1,95,105,0.110045454,0.222222222,0.125,0,0.315254237,0.429752066,rumah 2 lantai komplek the paradise palagan shm,ngaglik sleman,jual rumah modern minimal bangun 2 lantai dlm komplek the paradise palagan sleman luas tanah,rumah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1908177/7bdfe4b5820c67d315adeb5aa7d4eb82.jpg,https://www.rumah123.com/properti/sleman/hos18433593/
1452,Rumah American Style 2 Lantai Dekat Citragrand Waterpark Include Private Pool,"Gamping, Sleman",29000000000,4,3,1,213,135,0.213015401,0.333333333,0.25,0,0.715254237,0.553719008,rumah american style 2 lantai dekat citragrand waterpark include private pool,gamping sleman,new verania buah cluster rumah mewah kolam renang pribadi ada jl wates,rumah dekat sekolah,,https://www.rumah123.com/properti/sleman/hos18433416/
1453,Rumah Mewah Modern di Sleman Solar Heater 4 Unit Ac Gratis,"Gamping, Sleman",27000000000,4,3,1,182,135,0.198305409,0.333333333,0.25,0,0.610169492,0.553719008,rumah mewah modern sleman solar heater 4 unit ac gratis,gamping sleman,new verania buah cluster rumah mewah kolam renang pribadi ada jl wates,rumah dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/625584/87e4d909b4c8ae4245ba7496a5f1fd97.jpg,https://www.rumah123.com/properti/sleman/hos18382656/
1454,Promo Sleman Rumah Mewah Gratis Solar Heater Ac,"Gamping, Sleman",25000000000,4,3,1,187,135,0.183595416,0.333333333,0.25,0,0.627118644,0.553719008,promo sleman rumah mewah gratis solar heater ac,gamping sleman,rumah mewah 2 lantai gamping sleman include kolam renang 2 lantai 2 carport desain,rumah dekat akses transportasi dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/625584/6a0bbd70193b38dd12df4bd38d326281.jpg,https://www.rumah123.com/properti/sleman/hos18382653/
1455,Rumah Mewah Desain Klasik Mediterania Di Dalam Ringroad Dekat Tugu Jogja,"Godean, Sleman",29000000000,4,4,2,134,154,0.213015401,0.333333333,0.375,0.05,0.447457627,0.632231405,rumah mewah desain klasik mediterania dalam ringroad dekat tugu jogja,godean sleman,jual rumah mewah desain klasik jl godean ringroad dekat tugu jogja sedia 14 unit rumah,rumah dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/625584/35be0f20acc9f2f70995f135e64ab7a4.jpg,https://www.rumah123.com/properti/sleman/hos18382649/
1456,Rumah Dijual Gamping Sleman Dekat Citra Grand 10 Menit Umy,"Gamping, Sleman",25000000000,4,3,2,186,135,0.183595416,0.333333333,0.25,0.05,0.623728814,0.553719008,rumah jual gamping sleman dekat citra grand 10 menit umy,gamping sleman,rumah jual limited 3 unit akhir cluster new verania rancang lengkap teknologi yang,rumah dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/625584/d7da39e78cd42fb41d42277d4b720641.jpg,https://www.rumah123.com/properti/sleman/hos18382646/
1457,Rumah Cluster 500 Jutaan di Jalan Magelang Dekat Polres Sleman,"Sleman, Sleman",575000000,3,1,1,100,70,0.003949633,0.222222222,0,0,0.33220339,0.285123967,rumah cluster 500 juta jalan magelang dekat polres sleman,sleman sleman,rumah murah 500 juta jalan magelang dekat polres sleman nv spesifikasi luas tanah 100 m2,rumah dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/2024-02-04-14-28-47-3b1fc3ce-26f6-4c28-b5e3-e2ffcfc3f8fc.jpg,https://www.rumah123.com/properti/sleman/hos17944287/
1458,Rumah Mewah Siap Huni Dalam Perumahan Jalan Kaliurang Km 9,"Sleman, Yogyakarta",28000000000,3,3,2,128,210,0.205660405,0.222222222,0.25,0.05,0.427118644,0.863636364,rumah mewah siap huni rumah jalan kaliurang km 9,sleman yogyakarta,rumah mewah rumah elit pesona mentari jalan kaliurang km 9 nv lingkung aman one gate,rumah siap huni dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/67679/a16462cb91a8b7087f8eae97018e709e.jpg,https://www.rumah123.com/properti/sleman/hos18382474/
1459,"Rumah Villa 2 Lantai Baru Furnished SHM di Jalan Kaliurang Km 10, Yogyakarta","Sleman, Yogyakarta",18000000000,3,3,2,116,125,0.132110443,0.222222222,0.25,0.05,0.386440678,0.512396694,rumah villa 2 lantai baru furnished shm jalan kaliurang km 10 yogyakarta,sleman yogyakarta,bingung tentu pilih rumah impi keluarga budget 2 m tinggal masuk bawa koper,rumah full furnished dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/1929646/dd75385e6f3556237ac27de3eb76167d.jpg,https://www.rumah123.com/properti/sleman/hos18382464/
1460,Rumah Nyaman Gaya Modern di Jl Magelang Dekat Pasar Sleman,"Sleman, Sleman",490000000,2,1,1,92,36,0.003324458,0.111111111,0,0,0.305084746,0.144628099,rumah nyaman gaya modern jl magelang dekat pasar sleman,sleman sleman,rumah nyaman gaya modern jl magelang dekat pasar sleman kemloko margorejo kec tempel kabupaten,rumah dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1929646/7133d15b0ad38c318322b5362eecd139.jpg,https://www.rumah123.com/properti/sleman/hos18382427/
1461,Rumah Baru Siap Huni Ada 3 Unit Di Jalan Kaliurang Km 13 Dekat Kampus Uii Yogyakarta,"Ngaglik, Sleman",850000000,3,2,1,107,71,0.005972257,0.222222222,0.125,0,0.355932203,0.289256198,rumah baru siap huni 3 unit jalan kaliurang km 13 dekat kampus uii yogyakarta,ngaglik sleman,jual rumah baru siap huni jl kaliurang km 12 dekat kampus uii ngaglik sleman yogyakarta ada,rumah siap huni dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/1929646/364156e543fb93863f3ea9ad25fd1281.jpg,https://www.rumah123.com/properti/bantul/hos18382409/
1462,Rumah Siap Huni Lengkap SHM Imb di Utara Stadion Maguwoharjo,"Sleman, Sleman",13000000000,3,3,2,116,130,0.095335461,0.222222222,0.25,0.05,0.386440678,0.533057851,rumah siap huni lengkap shm imb utara stadion maguwoharjo,sleman sleman,rumah cantik 2 lantai aman nyaman dekat sd model sleman nv spesifikasi luas tanah 116 m2,rumah siap huni dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/1929646/d1196321c82485d1dc6d421e2532dbe8.jpg,https://www.rumah123.com/properti/sleman/hos18382364/
1463,Rumah Murah Jogja Dijual Dekat Kampus Universitas Mercu Buana Jalan Wates,"Sedayu, Bantul",800000000,5,3,1,156,225,0.005604507,0.444444444,0.25,0,0.522033898,0.925619835,rumah murah jogja jual dekat kampus universitas mercu buana jalan wates,sedayu bantul,rumah jogja murah jual siap huni shm lt 156m lb 225m ld 12m 5 kt 3 km air sumur pam listrik 2,rumah siap huni dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1929646/d5523b80c8059589aa2711da8c76b9a6.jpg,https://www.rumah123.com/properti/sleman/hos18382306/
1464,"Big Sale Promo 10.10 Hunian Joglo Khas Rumah Jogja, Legalitas SHM Pbg","Maguwoharjo, Yogyakarta",450000000,2,1,1,75,36,0.003030258,0.111111111,0,0,0.247457627,0.144628099,big sale promo 10 10 huni joglo khas rumah jogja legalitas shm pbg,maguwoharjo yogyakarta,big sale promo 10 10 huni joglo khas rumah jogja legalitas shm pbg legalitas shm pbg spesifikasi,rumah dekat akses transportasi dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1506196/541d4683e1c0153ec89c079559936303.jpg,https://www.rumah123.com/properti/sleman/hos17909305/
1465,Rumah Jogja Dijual Murah Dekat Pemda Bantul,"Sewon, Bantul",750000000,3,2,1,213,170,0.005236757,0.222222222,0.125,0,0.715254237,0.698347107,rumah jogja jual murah dekat pemda bantul,sewon bantul,jual rumah murah jogja siap huni shm lt 213m lb 170m ld 12m 3 kt 2 km 1300w air sumur dapur carport,rumah siap huni dekat pusat belanja,https://picture.rumah123.com/r123-images/720x420-crop/customer/625584/cf5538cd6ed95721ace03788886365b2.jpg,https://www.rumah123.com/properti/sleman/hos18382039/
1466,Dijual Rumah Jogja Dekat Kids Fun Jl Wonosari,"Piyungan, Bantul",695000000,4,2,1,115,150,0.004832233,0.333333333,0.125,0,0.383050847,0.615702479,jual rumah jogja dekat kids fun jl wonosari,piyungan bantul,rumah jogja jual murah siap huni shm lt 115m lb 150m ld 8m 4 kt 2 km 900w air sumur carport 5,rumah siap huni dekat tempat wisata,https://picture.rumah123.com/r123-images/720x420-crop/customer/1506196/9ad0383d9524a9a43f1bc6df3a1a708c.jpg,https://www.rumah123.com/properti/sleman/hos18068738/
1467,"Rumah Termurah Tepi Jl Palagan, Dalam Perum, Siap Huni","Ngaglik, Sleman",1.25E+11,3,1,1,139,82,0.919095041,0.222222222,0,0,0.46440678,0.334710744,rumah murah tepi jl palagan perum siap huni,ngaglik sleman,rumah murah tepi jl palagan perum siap huni spesifikasi rumah type rumah 82 m2 luas tanah,rumah siap huni dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1506196/8c76e71db1f30069b4a12334fb7925bf.jpg,https://www.rumah123.com/properti/sleman/hos17962438/
